Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0046672,8/17/2015,8/17/2015,,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",https://www.imdb.com/title/tt0046672/,Movie,7.2,127,1954,"Adventure, Drama, Family, Fantasy, Sci-Fi",38070,7/20/1955,Richard Fleischer
2,tt0114345,8/17/2015,8/17/2015,,The Scarlet Letter,The Scarlet Letter,https://www.imdb.com/title/tt0114345/,Movie,5.3,135,1995,"Drama, Romance",16567,10/13/1995,Roland Joffé
3,tt0022835,8/17/2015,8/17/2015,,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,https://www.imdb.com/title/tt0022835/,Movie,7.6,98,1931,"Horror, Sci-Fi",16287,1/3/1932,Rouben Mamoulian
4,tt1855423,8/17/2015,8/17/2015,So they turned it into a horror flick.,Walden,Walden,https://www.imdb.com/title/tt1855423/,Movie,8.1,78,2011,"Comedy, Horror",19,,Joel Trudgeon
5,tt0115195,8/17/2015,8/17/2015,,Gulliver's Travels,Gulliver's Travels,https://www.imdb.com/title/tt0115195/,TV Mini Series,6.9,93,1996,"Adventure, Comedy, Drama, Family, Fantasy",7264,2/4/1996,
6,tt0049513,8/17/2015,8/17/2015,,Moby Dick,Moby Dick,https://www.imdb.com/title/tt0049513/,Movie,7.3,116,1956,"Adventure, Drama",22598,8/29/1956,John Huston
7,tt0050379,8/17/2015,8/17/2015,,A Farewell to Arms,A Farewell to Arms,https://www.imdb.com/title/tt0050379/,Movie,5.8,152,1957,"Drama, Romance, War",2966,12/14/1957,"Charles Vidor, John Huston"
8,tt0043961,8/17/2015,8/17/2015,,The Red Badge of Courage,The Red Badge of Courage,https://www.imdb.com/title/tt0043961/,Movie,7.1,69,1951,"Drama, War",4937,10/11/1951,John Huston
9,tt3040964,8/17/2015,8/17/2015,,The Jungle Book,The Jungle Book,https://www.imdb.com/title/tt3040964/,Movie,7.4,106,2016,"Animation, Action, Adventure, Drama, Family, Fantasy, Musical",295644,4/15/2016,Jon Favreau
10,tt0118414,8/17/2015,8/17/2015,,The Odyssey,The Odyssey,https://www.imdb.com/title/tt0118414/,TV Mini Series,7,91,1997,"Adventure, Drama, Fantasy, History",16436,5/18/1997,
11,tt0359836,8/17/2015,8/17/2015,,Pilgrim's Progress,Pilgrim's Progress,https://www.imdb.com/title/tt0359836/,Movie,5.3,72,1978,Adventure,348,4/5/1978,Ken Anderson
12,tt0079740,8/17/2015,8/17/2015,,A Portrait of the Artist as a Young Man,A Portrait of the Artist as a Young Man,https://www.imdb.com/title/tt0079740/,Movie,6.2,98,1977,Drama,236,4/23/1979,Joseph Strick
13,tt0180897,8/17/2015,8/17/2015,Only thing I could find - title only.  Nothing made of the Milton Book,Paradise Lost,Paradise Lost,https://www.imdb.com/title/tt0180897/,Movie,4.6,105,1999,"Drama, Mystery, Sci-Fi, Thriller",310,,Herb Freed
14,tt0181199,8/17/2015,8/17/2015,,Arabian Nights,Arabian Nights,https://www.imdb.com/title/tt0181199/,TV Mini Series,7.4,88,2000,"Adventure, Family, Fantasy",5651,4/30/2000,
15,tt1836808,8/17/2015,8/17/2015,,Great Expectations,Great Expectations,https://www.imdb.com/title/tt1836808/,Movie,6.3,128,2012,"Drama, Romance",13851,11/8/2013,Mike Newell
16,tt0054719,8/17/2015,8/17/2015,,Candide or The Optimism in the 20th Century,Candide ou l'optimisme au XXe siècle,https://www.imdb.com/title/tt0054719/,Movie,5.7,88,1960,Comedy,166,12/16/1960,Norbert Carbonnaux
17,tt0050792,8/17/2015,8/17/2015,,Oedipus Rex,Oedipus Rex,https://www.imdb.com/title/tt0050792/,Movie,6.5,87,1957,Drama,352,1/6/1957,"Tyrone Guthrie, Abraham Polonsky"
18,tt0031455,8/17/2015,8/17/2015,,The Hunchback of Notre Dame,The Hunchback of Notre Dame,https://www.imdb.com/title/tt0031455/,Movie,7.8,116,1939,"Drama, Romance",12571,12/29/1939,William Dieterle
19,tt0104691,8/17/2015,8/17/2015,,The Last of the Mohicans,The Last of the Mohicans,https://www.imdb.com/title/tt0104691/,Movie,7.6,112,1992,"Action, Adventure, Drama, Romance, War, Western",192530,9/25/1992,Michael Mann
20,tt1215482,8/17/2015,8/17/2015,,Sea Wolf,Sea Wolf,https://www.imdb.com/title/tt1215482/,TV Mini Series,6.3,180,2009,"Adventure, Drama, Romance",1092,2011,
21,tt0099334,8/17/2015,8/17/2015,,Cyrano de Bergerac,Cyrano de Bergerac,https://www.imdb.com/title/tt0099334/,Movie,7.5,137,1990,"Comedy, Drama, History, Romance",26360,12/1/1990,Jean-Paul Rappeneau
22,tt0067647,8/17/2015,8/17/2015,,The Canterbury Tales,I racconti di Canterbury,https://www.imdb.com/title/tt0067647/,Movie,6.3,111,1972,"Comedy, Drama, History",8412,5/30/1980,Pier Paolo Pasolini
23,tt0494429,8/17/2015,8/17/2015,The Essays Of Ralph Waldo Emerson,Ralph Waldo Emerson,Ralph Waldo Emerson,https://www.imdb.com/title/tt0494429/,Short,5.7,,1922,"Short, Biography, Drama",16,5/21/1922,James A. FitzPatrick
