Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1099212,7/1/2011,7/1/2011,I've read the book and watched the movie.,Twilight,Twilight,https://www.imdb.com/title/tt1099212/,Movie,5.3,122,2008,"Drama, Fantasy, Romance",496070,11/21/2008,Catherine Hardwicke
2,tt1259571,7/1/2011,7/1/2011,I've read the book and watched the movie.,The Twilight Saga: New Moon,The Twilight Saga: New Moon,https://www.imdb.com/title/tt1259571/,Movie,4.8,130,2009,"Adventure, Drama, Fantasy, Romance",304904,11/20/2009,Chris Weitz
3,tt1325004,7/1/2011,7/1/2011,I've read the book and watched the movie.,The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,https://www.imdb.com/title/tt1325004/,Movie,5.1,124,2010,"Action, Adventure, Drama, Fantasy, Mystery, Romance, Thriller",265403,6/30/2010,David Slade
4,tt0100054,7/1/2011,7/1/2011,I've read the book and watched the movie.,Lord of the Flies,Lord of the Flies,https://www.imdb.com/title/tt0100054/,Movie,6.4,90,1990,"Adventure, Drama, Thriller",34555,3/16/1990,Harry Hook
5,tt0120737,7/1/2011,7/1/2011,I've read the book and watched the movie.,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,Movie,8.9,178,2001,"Action, Adventure, Drama, Fantasy",2055788,12/19/2001,Peter Jackson
6,tt0167260,7/1/2011,7/1/2011,I've read the book and watched the movie.,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,Movie,9,201,2003,"Action, Adventure, Drama, Fantasy",2025973,12/17/2003,Peter Jackson
7,tt0167261,7/1/2011,7/1/2011,I've read the book and watched the movie.,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/,Movie,8.8,179,2002,"Action, Adventure, Drama, Fantasy",1826497,12/18/2002,Peter Jackson
8,tt0414387,7/1/2011,7/1/2011,I've read the book and watched the movie.,Pride & Prejudice,Pride & Prejudice,https://www.imdb.com/title/tt0414387/,Movie,7.8,129,2005,"Drama, Romance",340133,11/23/2005,Joe Wright
9,tt0114117,7/1/2011,7/1/2011,Have only watched the movie.,Persuasion,Persuasion,https://www.imdb.com/title/tt0114117/,TV Movie,7.7,103,1995,"Drama, Romance",11696,4/6/1997,Roger Michell
10,tt0114388,7/1/2011,7/1/2011,Have only watched the movie.,Sense and Sensibility,Sense and Sensibility,https://www.imdb.com/title/tt0114388/,Movie,7.7,136,1995,"Drama, Romance",128626,1/26/1996,Ang Lee
11,tt0116684,7/1/2011,7/1/2011,Have only watched the movie.,Jane Eyre,Jane Eyre,https://www.imdb.com/title/tt0116684/,Movie,6.8,112,1996,"Drama, Romance",10343,4/12/1996,Franco Zeffirelli
12,tt0300015,7/1/2011,7/1/2011,I've read the book and watched the movie.,I Capture the Castle,I Capture the Castle,https://www.imdb.com/title/tt0300015/,Movie,6.8,113,2003,"Drama, Romance",8099,8/8/2003,Tim Fywell
13,tt0258463,7/1/2011,7/1/2011,Have only watched the movie.,The Bourne Identity,The Bourne Identity,https://www.imdb.com/title/tt0258463/,Movie,7.8,119,2002,"Action, Mystery, Thriller",585867,6/14/2002,Doug Liman
14,tt0106918,7/1/2011,7/1/2011,I've read the book and watched the movie.,The Firm,The Firm,https://www.imdb.com/title/tt0106918/,Movie,6.9,154,1993,"Drama, Mystery, Thriller",150910,6/30/1993,Sydney Pollack
15,tt0109446,7/1/2011,7/1/2011,I've read the book and watched the movie.,The Client,The Client,https://www.imdb.com/title/tt0109446/,Movie,6.7,119,1994,"Crime, Drama, Mystery, Thriller",75125,7/20/1994,Joel Schumacher
16,tt0119978,7/1/2011,7/1/2011,I've read the book and watched the movie.,The Rainmaker,The Rainmaker,https://www.imdb.com/title/tt0119978/,Movie,7.2,135,1997,"Crime, Drama, Thriller",84530,11/21/1997,Francis Ford Coppola
17,tt0056592,7/1/2011,7/1/2011,I've read the book and watched the movie.,To Kill a Mockingbird,To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/,Movie,8.3,129,1962,"Crime, Drama",337856,3/16/1963,Robert Mulligan
18,tt0116722,7/1/2011,7/1/2011,Have only watched the movie.,Jude,Jude,https://www.imdb.com/title/tt0116722/,Movie,6.9,123,1996,"Drama, Romance",11272,10/18/1996,Michael Winterbottom
19,tt0372183,7/1/2011,7/1/2011,Have only watched the movie.,The Bourne Supremacy,The Bourne Supremacy,https://www.imdb.com/title/tt0372183/,Movie,7.7,108,2004,"Action, Mystery, Thriller",493663,7/23/2004,Paul Greengrass
20,tt0440963,7/1/2011,7/1/2011,Have only watched the movie.,The Bourne Ultimatum,The Bourne Ultimatum,https://www.imdb.com/title/tt0440963/,Movie,8,115,2007,"Action, Mystery, Thriller",665089,8/3/2007,Paul Greengrass
21,tt0116191,7/1/2011,7/1/2011,Have only watched the movie.,Emma,Emma,https://www.imdb.com/title/tt0116191/,Movie,6.6,120,1996,"Comedy, Drama, Romance",42453,8/30/1996,Douglas McGrath
22,tt0178737,7/1/2011,7/1/2011,Have only watched the movie.,Mansfield Park,Mansfield Park,https://www.imdb.com/title/tt0178737/,Movie,7,112,1999,"Comedy, Drama, Romance",26290,12/25/1999,Patricia Rozema
23,tt0385017,7/1/2011,7/1/2011,Have only watched the movie.,In My Father's Den,In My Father's Den,https://www.imdb.com/title/tt0385017/,Movie,7.4,127,2004,"Drama, Mystery, Thriller",7923,10/7/2004,Brad McGann
24,tt1139797,7/1/2011,7/1/2011,Have only watched the movie.,Let the Right One In,Låt den rätte komma in,https://www.imdb.com/title/tt1139797/,Movie,7.8,114,2008,"Drama, Fantasy, Horror, Romance",230349,12/12/2008,Tomas Alfredson
25,tt1228987,7/1/2011,7/1/2011,Have only watched the movie.,Let Me In,Let Me In,https://www.imdb.com/title/tt1228987/,Movie,7.1,116,2010,"Drama, Fantasy, Horror, Mystery, Thriller",129025,10/1/2010,Matt Reeves
26,tt0963743,7/1/2011,7/1/2011,Have only watched the movie.,"Angus, Thongs and Perfect Snogging","Angus, Thongs and Perfect Snogging",https://www.imdb.com/title/tt0963743/,Movie,6.3,100,2008,"Comedy, Drama, Romance",30570,7/25/2008,Gurinder Chadha
27,tt0311113,7/1/2011,7/1/2011,Have only watched the movie.,Master and Commander: The Far Side of the World,Master and Commander: The Far Side of the World,https://www.imdb.com/title/tt0311113/,Movie,7.5,138,2003,"Action, Adventure, Drama, War",242240,11/14/2003,Peter Weir
28,tt0241025,7/1/2011,7/1/2011,Have only watched the movie.,Vanity Fair,Vanity Fair,https://www.imdb.com/title/tt0241025/,Movie,6.2,141,2004,Drama,23681,9/1/2004,Mira Nair
29,tt0113670,7/1/2011,7/1/2011,Have only watched the movie.,A Little Princess,A Little Princess,https://www.imdb.com/title/tt0113670/,Movie,7.6,97,1995,"Drama, Family, Fantasy",37374,5/19/1995,Alfonso Cuarón
